Symbol,Name,Date,Close,Volume,Beta,PBR,MarketCap,Momentum1M,Momentum3M,Momentum6M,Momentum12M,Volatility,RSI,MACD,Signal,MACD_Hist,Sector,Industry,Beta_Factor,Value_Factor,Size_Factor,Momentum_Factor,Volatility_Factor,weighted_score,factor_percentile,smart_signal,signal_strength,rebalance_priority,to_rebalance,Mkt_RF,SMB,HML,RMW,CMA
PLTR,Palantir Technologies Inc.,2021-06-29,26.63,38478900,0.7,67.9,60.83,16.03,20.83,3.9,0.0,32.83,72.78,1.12,0.97,0.14,Technology,Software - Infrastructure,0.9,0.9,0.7,0.15,0.09999999999999998,0.495,70.0,BUY,MEDIUM,49.5,0,0.0001,-0.0039000000000000003,-0.003,0.0031,0.0039000000000000003
TSLA,Tesla Inc.,2021-06-29,226.92,52143900,2.31,20.36,754.69,8.88,7.1,2.57,237.23,38.82,76.3,4.68,1.3,3.38,Consumer Cyclical,Auto Manufacturers,0.0,0.7,0.0,1.0,0.0,0.43999999999999995,60.0,BUY,MEDIUM,43.99999999999999,0,0.0001,-0.0039000000000000003,-0.003,0.0031,0.0039000000000000003
UNH,UnitedHealth Group Inc.,2021-06-29,369.6,2458800,0.74,3.16,334.79,-3.0,6.96,15.91,39.45,13.03,48.28,-0.67,-0.87,0.19,Healthcare,Healthcare Plans,0.8,0.6,0.8,0.5,0.8,0.67,100.0,STRONG_BUY,HIGH,67.0,1,0.0001,-0.0039000000000000003,-0.003,0.0031,0.0039000000000000003
AAPL,Apple Inc.,2021-06-30,133.75,63261400,1.55,55.02,1976.34,10.2,12.31,1.87,51.19,16.43,82.04,2.23,1.54,0.69,Technology,Consumer Electronics,0.19999999999999996,0.5,0.09999999999999998,0.6,0.5,0.43,40.0,SELL,MEDIUM,43.0,0,0.0007000000000000001,0.0013,0.0075,0.0072,0.0064
AMZN,Amazon.com Inc.,2021-06-30,172.01,48080000,1.27,6.43,1838.8,6.88,11.19,3.56,24.7,16.55,61.54,2.43,2.42,0.01,Consumer Cyclical,Internet Retail,0.6,0.4,0.19999999999999996,0.3,0.4,0.39,20.0,STRONG_SELL,HIGH,39.0,1,0.0007000000000000001,0.0013,0.0075,0.0072,0.0064
GOOGL,Alphabet Inc.,2021-06-30,121.17,24474000,1.3,9.57,704.99,2.55,18.39,38.91,72.19,14.63,51.91,1.42,1.58,-0.16,Communication Services,Internet Content & Information,0.5,0.19999999999999996,0.6,0.8,0.6,0.5599999999999999,80.0,STRONG_BUY,HIGH,55.99999999999999,1,0.0007000000000000001,0.0013,0.0075,0.0072,0.0064
IONQ,IonQ Inc.,2021-06-30,10.69,440200,1.23,7.11,3.79,7.11,-0.74,0.0,0.0,13.18,56.48,0.06,0.03,0.04,Technology,Computer Hardware,0.7,0.8,0.9,0.15,0.8,0.5950000000000001,90.0,STRONG_BUY,HIGH,59.50000000000001,1,0.0007000000000000001,0.0013,0.0075,0.0072,0.0064
META,Meta Platforms Inc.,2021-06-30,345.3,15107500,1.37,8.54,752.02,5.65,18.06,25.63,53.13,22.56,62.26,7.04,6.08,0.96,Communication Services,Internet Content & Information,0.30000000000000004,0.30000000000000004,0.5,0.7,0.30000000000000004,0.44,60.0,BUY,MEDIUM,44.0,0,0.0007000000000000001,0.0013,0.0075,0.0072,0.0064
MSFT,Microsoft Corporation,2021-06-30,261.14,21656500,1.31,9.75,1940.89,9.5,15.17,21.41,34.4,14.26,75.83,4.94,3.98,0.96,Technology,Software - Infrastructure,0.4,0.09999999999999998,0.4,0.4,0.7,0.39999999999999997,30.0,SELL,MEDIUM,40.0,0,0.0007000000000000001,0.0013,0.0075,0.0072,0.0064
NVDA,NVIDIA Corporation,2021-06-30,19.96,326568000,1.74,36.33,485.08,23.01,49.89,54.63,110.85,31.2,83.08,1.04,0.95,0.09,Technology,Semiconductors,0.09999999999999998,0.0,0.30000000000000004,0.9,0.19999999999999996,0.36000000000000004,10.0,STRONG_SELL,HIGH,36.00000000000001,1,0.0007000000000000001,0.0013,0.0075,0.0072,0.0064
PLTR,Palantir Technologies Inc.,2021-06-30,26.36,28957100,0.7,67.9,60.22,14.31,13.18,6.89,0.0,32.08,69.68,1.07,0.99,0.08,Technology,Software - Infrastructure,0.9,0.9,0.8,0.15,0.09999999999999998,0.505,70.0,BUY,MEDIUM,50.5,0,0.0007000000000000001,0.0013,0.0075,0.0072,0.0064
TSLA,Tesla Inc.,2021-06-30,226.57,56774700,2.29,20.36,753.52,8.94,1.76,2.06,214.73,38.87,73.89,5.13,2.07,3.06,Consumer Cyclical,Auto Manufacturers,0.0,0.7,0.0,1.0,0.0,0.43999999999999995,50.0,NEUTRAL,MEDIUM,43.99999999999999,0,0.0007000000000000001,0.0013,0.0075,0.0072,0.0064
UNH,UnitedHealth Group Inc.,2021-06-30,371.77,2875600,0.73,3.16,336.76,-1.18,8.02,16.12,37.8,13.09,50.44,-0.53,-0.8,0.27,Healthcare,Healthcare Plans,0.8,0.6,0.7,0.5,0.9,0.68,100.0,STRONG_BUY,HIGH,68.0,1,0.0007000000000000001,0.0013,0.0075,0.0072,0.0064
AAPL,Apple Inc.,2021-07-01,134.05,52485800,1.55,55.02,1980.81,9.76,11.79,2.98,51.82,16.37,81.0,2.38,1.7,0.67,Technology,Consumer Electronics,0.19999999999999996,0.6,0.19999999999999996,0.7,0.5,0.48999999999999994,60.0,BUY,MEDIUM,48.99999999999999,0,0.0044,0.0042,0.0044,0.0,0.0033
AMZN,Amazon.com Inc.,2021-07-01,171.65,40742000,1.26,6.43,1834.96,6.15,8.6,4.48,19.25,16.58,60.86,2.27,2.39,-0.12,Consumer Cyclical,Internet Retail,0.6,0.4,0.30000000000000004,0.3,0.4,0.4,35.0,SELL,MEDIUM,40.0,0,0.0044,0.0042,0.0044,0.0,0.0033
GOOGL,Alphabet Inc.,2021-07-01,121.53,18110000,1.3,9.57,707.04,3.3,14.98,41.04,69.83,14.63,55.28,1.37,1.54,-0.17,Communication Services,Internet Content & Information,0.5,0.19999999999999996,0.6,0.8,0.6,0.5599999999999999,80.0,STRONG_BUY,HIGH,55.99999999999999,1,0.0044,0.0042,0.0044,0.0,0.0033
IONQ,IonQ Inc.,2021-07-01,10.7,247300,1.23,7.11,3.79,7.0,1.23,0.0,0.0,13.04,56.07,0.08,0.04,0.05,Technology,Computer Hardware,0.7,0.8,0.9,0.15,0.9,0.6150000000000001,90.0,STRONG_BUY,HIGH,61.50000000000001,1,0.0044,0.0042,0.0044,0.0,0.0033
META,Meta Platforms Inc.,2021-07-01,351.93,17137000,1.37,8.54,766.47,7.67,18.66,30.35,49.19,22.89,67.09,7.48,6.36,1.12,Communication Services,Internet Content & Information,0.30000000000000004,0.30000000000000004,0.4,0.6,0.30000000000000004,0.4,35.0,SELL,MEDIUM,40.0,0,0.0044,0.0042,0.0044,0.0,0.0033
MSFT,Microsoft Corporation,2021-07-01,261.81,16725300,1.31,9.75,1945.9,9.83,12.33,23.08,33.97,14.26,75.88,5.09,4.2,0.89,Technology,Software - Infrastructure,0.4,0.050000000000000044,0.5,0.4,0.7,0.39999999999999997,20.0,STRONG_SELL,HIGH,40.0,1,0.0044,0.0042,0.0044,0.0,0.0033
NVDA,NVIDIA Corporation,2021-07-01,20.17,480136000,1.74,36.33,490.16,20.49,46.37,53.84,112.34,31.1,82.21,1.06,0.97,0.09,Technology,Semiconductors,0.09999999999999998,0.050000000000000044,0.09999999999999998,0.9,0.19999999999999996,0.35000000000000003,10.0,STRONG_SELL,HIGH,35.0,1,0.0044,0.0042,0.0044,0.0,0.0033
PLTR,Palantir Technologies Inc.,2021-07-01,24.72,55429800,0.68,67.9,56.47,1.1,7.15,-1.51,0.0,36.68,50.37,0.9,0.97,-0.08,Technology,Software - Infrastructure,0.9,0.9,0.7,0.15,0.09999999999999998,0.495,70.0,BUY,MEDIUM,49.5,0,0.0044,0.0042,0.0044,0.0,0.0033
TSLA,Tesla Inc.,2021-07-01,225.97,55903500,2.28,20.36,751.55,12.03,2.44,-2.43,202.74,37.86,73.12,5.38,2.73,2.65,Consumer Cyclical,Auto Manufacturers,0.0,0.7,0.0,1.0,0.0,0.43999999999999995,50.0,NEUTRAL,MEDIUM,43.99999999999999,0,0.0044,0.0042,0.0044,0.0,0.0033
UNH,UnitedHealth Group Inc.,2021-07-01,375.9,2678100,0.73,3.16,340.5,0.13,10.71,18.21,38.03,13.52,58.89,-0.09,-0.66,0.57,Healthcare,Healthcare Plans,0.8,0.5,0.8,0.5,0.8,0.6500000000000001,100.0,STRONG_BUY,HIGH,65.00000000000001,1,0.0044,0.0042,0.0044,0.0,0.0033
AAPL,Apple Inc.,2021-07-02,136.68,78852600,1.55,55.02,2019.63,13.29,11.36,5.82,54.79,16.25,80.46,2.68,1.9,0.78,Technology,Consumer Electronics,0.19999999999999996,0.5,0.19999999999999996,0.7,0.5,0.4699999999999999,60.0,BUY,MEDIUM,46.99999999999999,0,0.005600000000000001,-0.015300000000000001,-0.006999999999999999,0.0066,-0.0014000000000000002
AMZN,Amazon.com Inc.,2021-07-02,175.55,63388000,1.27,6.43,1876.66,10.17,8.81,7.8,21.47,17.62,64.53,2.43,2.4,0.03,Consumer Cyclical,Internet Retail,0.6,0.4,0.09999999999999998,0.3,0.4,0.38,10.0,STRONG_SELL,HIGH,38.0,1,0.005600000000000001,-0.015300000000000001,-0.006999999999999999,0.0066,-0.0014000000000000002
GOOGL,Alphabet Inc.,2021-07-02,124.32,25982000,1.3,9.57,723.28,6.71,12.9,42.94,70.43,15.34,63.11,1.53,1.54,-0.01,Communication Services,Internet Content & Information,0.5,0.09999999999999998,0.6,0.8,0.6,0.5399999999999999,80.0,STRONG_BUY,HIGH,53.99999999999999,1,0.005600000000000001,-0.015300000000000001,-0.006999999999999999,0.0066,-0.0014000000000000002
IONQ,IonQ Inc.,2021-07-02,10.48,147100,1.21,7.11,3.71,4.28,-1.96,0.0,0.0,14.67,48.39,0.08,0.05,0.03,Technology,Computer Hardware,0.7,0.8,0.9,0.15,0.8,0.5950000000000001,90.0,STRONG_BUY,HIGH,59.50000000000001,1,0.005600000000000001,-0.015300000000000001,-0.006999999999999999,0.0066,-0.0014000000000000002
META,Meta Platforms Inc.,2021-07-02,352.24,11521300,1.37,8.54,767.14,8.79,14.82,29.85,51.96,22.63,64.35,7.76,6.64,1.12,Communication Services,Internet Content & Information,0.30000000000000004,0.30000000000000004,0.5,0.6,0.30000000000000004,0.41000000000000003,40.0,SELL,MEDIUM,41.0,0,0.005600000000000001,-0.015300000000000001,-0.006999999999999999,0.0066,-0.0014000000000000002
MSFT,Microsoft Corporation,2021-07-02,267.65,26458000,1.31,9.75,1989.25,13.0,11.73,25.41,35.92,14.97,79.08,5.61,4.48,1.13,Technology,Software - Infrastructure,0.4,0.09999999999999998,0.30000000000000004,0.4,0.7,0.38999999999999996,20.0,STRONG_SELL,HIGH,38.99999999999999,1,0.005600000000000001,-0.015300000000000001,-0.006999999999999999,0.0066,-0.0014000000000000002
NVDA,NVIDIA Corporation,2021-07-02,20.44,342764000,1.74,36.33,496.83,20.75,46.5,57.02,113.38,30.08,82.59,1.08,0.99,0.09,Technology,Semiconductors,0.09999999999999998,0.09999999999999998,0.4,0.9,0.19999999999999996,0.39,30.0,SELL,MEDIUM,39.0,0,0.005600000000000001,-0.015300000000000001,-0.006999999999999999,0.0066,-0.0014000000000000002
PLTR,Palantir Technologies Inc.,2021-07-02,24.44,29389500,0.67,67.9,55.83,3.43,4.27,3.78,0.0,36.94,45.82,0.72,0.92,-0.2,Technology,Software - Infrastructure,0.9,0.9,0.8,0.15,0.0,0.485,70.0,BUY,MEDIUM,48.5,0,0.005600000000000001,-0.015300000000000001,-0.006999999999999999,0.0066,-0.0014000000000000002
TSLA,Tesla Inc.,2021-07-02,226.3,81163500,2.27,20.36,752.63,18.51,-1.76,-3.79,180.85,36.4,71.81,5.54,3.29,2.25,Consumer Cyclical,Auto Manufacturers,0.0,0.7,0.0,1.0,0.09999999999999998,0.45999999999999996,50.0,NEUTRAL,MEDIUM,46.0,0,0.005600000000000001,-0.015300000000000001,-0.006999999999999999,0.0066,-0.0014000000000000002
UNH,UnitedHealth Group Inc.,2021-07-02,380.05,1982400,0.73,3.16,344.26,0.71,10.99,17.58,39.31,13.89,61.49,0.59,-0.41,1.0,Healthcare,Healthcare Plans,0.8,0.6,0.7,0.5,0.9,0.68,100.0,STRONG_BUY,HIGH,68.0,1,0.005600000000000001,-0.015300000000000001,-0.006999999999999999,0.0066,-0.0014000000000000002
AAPL,Apple Inc.,2021-07-06,138.69,108181800,1.55,55.02,2049.35,12.81,12.72,10.09,52.98,15.65,86.89,3.04,2.13,0.92,Technology,Consumer Electronics,0.19999999999999996,0.4,0.19999999999999996,0.7,0.5,0.45,55.0,NEUTRAL,MEDIUM,45.0,0,-0.0027,-0.0102,-0.02,0.0055000000000000005,-0.0075
AMZN,Amazon.com Inc.,2021-07-06,183.79,134896000,1.23,6.43,1964.72,14.64,14.02,15.35,20.24,21.13,74.32,3.18,2.55,0.63,Consumer Cyclical,Internet Retail,0.6,0.15000000000000002,0.0,0.3,0.4,0.32,10.0,STRONG_SELL,HIGH,32.0,1,-0.0027,-0.0102,-0.02,0.0055000000000000005,-0.0075
GOOGL,Alphabet Inc.,2021-07-06,125.24,26404000,1.3,9.57,728.67,5.44,14.24,46.21,68.29,15.18,72.44,1.72,1.58,0.14,Communication Services,Internet Content & Information,0.5,0.15000000000000002,0.6,0.8,0.6,0.5499999999999999,80.0,STRONG_BUY,HIGH,54.99999999999999,1,-0.0027,-0.0102,-0.02,0.0055000000000000005,-0.0075
IONQ,IonQ Inc.,2021-07-06,10.53,356100,1.2,7.11,3.73,4.26,-2.32,-2.5,0.0,14.64,53.28,0.08,0.05,0.03,Technology,Computer Hardware,0.7,0.8,0.9,0.15,0.8,0.5950000000000001,90.0,STRONG_BUY,HIGH,59.50000000000001,1,-0.0027,-0.0102,-0.02,0.0055000000000000005,-0.0075
META,Meta Platforms Inc.,2021-07-06,350.33,13488500,1.36,8.54,762.99,6.79,15.19,31.17,46.82,22.55,62.45,7.74,6.86,0.88,Communication Services,Internet Content & Information,0.30000000000000004,0.5,0.5,0.6,0.30000000000000004,0.45,55.0,NEUTRAL,MEDIUM,45.0,0,-0.0027,-0.0102,-0.02,0.0055000000000000005,-0.0075
MSFT,Microsoft Corporation,2021-07-06,267.66,31565600,1.31,9.75,1989.32,10.71,12.28,28.14,33.06,14.76,83.25,5.96,4.78,1.18,Technology,Software - Infrastructure,0.4,0.15000000000000002,0.4,0.4,0.7,0.41,30.0,SELL,MEDIUM,41.0,0,-0.0027,-0.0102,-0.02,0.0055000000000000005,-0.0075
NVDA,NVIDIA Corporation,2021-07-06,20.65,446708000,1.74,36.33,501.95,17.78,49.36,57.93,110.61,29.76,88.62,1.1,1.02,0.09,Technology,Semiconductors,0.09999999999999998,0.15000000000000002,0.30000000000000004,0.9,0.19999999999999996,0.39,20.0,STRONG_SELL,HIGH,39.0,1,-0.0027,-0.0102,-0.02,0.0055000000000000005,-0.0075
PLTR,Palantir Technologies Inc.,2021-07-06,24.68,28764500,0.67,67.9,56.38,2.7,6.06,5.61,0.0,36.96,52.13,0.6,0.86,-0.26,Technology,Software - Infrastructure,0.9,0.9,0.8,0.15,0.09999999999999998,0.505,70.0,BUY,MEDIUM,50.5,0,-0.0027,-0.0102,-0.02,0.0055000000000000005,-0.0075
TSLA,Tesla Inc.,2021-07-06,219.86,69853500,2.21,20.36,731.21,10.1,-4.63,-9.62,140.45,37.44,71.31,5.09,3.65,1.44,Consumer Cyclical,Auto Manufacturers,0.0,0.7,0.09999999999999998,1.0,0.0,0.44999999999999996,40.0,SELL,MEDIUM,44.99999999999999,0,-0.0027,-0.0102,-0.02,0.0055000000000000005,-0.0075
UNH,UnitedHealth Group Inc.,2021-07-06,380.89,2615300,0.73,3.16,345.02,1.51,13.01,18.23,37.52,13.74,61.33,1.19,-0.09,1.28,Healthcare,Healthcare Plans,0.8,0.6,0.7,0.5,0.9,0.68,100.0,STRONG_BUY,HIGH,68.0,1,-0.0027,-0.0102,-0.02,0.0055000000000000005,-0.0075
AAPL,Apple Inc.,2021-07-07,141.18,104911600,1.56,55.02,2086.15,14.83,13.23,10.7,56.21,15.94,88.31,3.49,2.4,1.09,Technology,Consumer Electronics,0.19999999999999996,0.15000000000000002,0.09999999999999998,0.7,0.5,0.38999999999999996,20.0,STRONG_SELL,HIGH,38.99999999999999,1,0.001,-0.0084,0.0008,0.017,0.0034999999999999996
AMZN,Amazon.com Inc.,2021-07-07,184.83,106562000,1.23,6.43,1975.86,15.59,12.72,14.85,23.21,20.99,73.83,3.82,2.81,1.01,Consumer Cyclical,Internet Retail,0.6,0.15000000000000002,0.0,0.3,0.4,0.32,10.0,STRONG_SELL,HIGH,32.0,1,0.001,-0.0084,0.0008,0.017,0.0034999999999999996
GOOGL,Alphabet Inc.,2021-07-07,125.53,24060000,1.31,9.57,730.31,5.29,12.97,45.37,69.77,13.04,77.77,1.87,1.63,0.23,Communication Services,Internet Content & Information,0.44999999999999996,0.15000000000000002,0.6,0.8,0.9,0.6,90.0,STRONG_BUY,HIGH,60.0,1,0.001,-0.0084,0.0008,0.017,0.0034999999999999996
IONQ,IonQ Inc.,2021-07-07,10.44,274500,1.2,7.11,3.7,1.95,-2.34,-6.03,0.0,14.94,50.39,0.07,0.06,0.02,Technology,Computer Hardware,0.7,0.8,0.9,0.15,0.6,0.555,80.0,STRONG_BUY,HIGH,55.50000000000001,1,0.001,-0.0084,0.0008,0.017,0.0034999999999999996
META,Meta Platforms Inc.,2021-07-07,348.06,14218900,1.37,8.54,758.03,4.13,11.95,29.35,45.52,21.66,65.91,7.46,6.98,0.48,Communication Services,Internet Content & Information,0.30000000000000004,0.4,0.5,0.6,0.30000000000000004,0.43,30.0,SELL,MEDIUM,43.0,0,0.001,-0.0084,0.0008,0.017,0.0034999999999999996
MSFT,Microsoft Corporation,2021-07-07,269.84,23260000,1.31,9.75,2005.58,10.29,12.28,29.06,35.72,13.72,87.2,6.34,5.09,1.25,Technology,Software - Infrastructure,0.44999999999999996,0.15000000000000002,0.4,0.4,0.8,0.44000000000000006,40.0,SELL,MEDIUM,44.00000000000001,0,0.001,-0.0084,0.0008,0.017,0.0034999999999999996
NVDA,NVIDIA Corporation,2021-07-07,20.33,418428000,1.75,36.33,494.03,15.65,44.07,52.06,106.61,29.3,81.45,1.08,1.03,0.05,Technology,Semiconductors,0.09999999999999998,0.5,0.30000000000000004,0.9,0.19999999999999996,0.46,50.0,NEUTRAL,MEDIUM,46.0,0,0.001,-0.0084,0.0008,0.017,0.0034999999999999996
PLTR,Palantir Technologies Inc.,2021-07-07,22.89,66937300,0.66,67.9,52.29,-6.42,-0.04,-6.95,0.0,43.04,37.68,0.35,0.76,-0.4,Technology,Software - Infrastructure,0.9,0.9,0.7,0.15,0.0,0.475,60.0,BUY,MEDIUM,47.5,0,0.001,-0.0084,0.0008,0.017,0.0034999999999999996
TSLA,Tesla Inc.,2021-07-07,214.88,56376000,2.23,20.36,714.66,6.53,-3.92,-12.31,131.91,36.3,63.19,4.28,3.78,0.5,Consumer Cyclical,Auto Manufacturers,0.0,0.7,0.19999999999999996,1.0,0.09999999999999998,0.48,70.0,BUY,MEDIUM,48.0,0,0.001,-0.0084,0.0008,0.017,0.0034999999999999996
UNH,UnitedHealth Group Inc.,2021-07-07,382.19,2270400,0.72,3.16,346.2,3.23,13.0,20.25,40.85,13.77,66.22,1.74,0.28,1.46,Healthcare,Healthcare Plans,0.8,0.6,0.8,0.5,0.7,0.65,100.0,STRONG_BUY,HIGH,65.0,1,0.001,-0.0084,0.0008,0.017,0.0034999999999999996
AAPL,Apple Inc.,2021-07-08,139.88,105575500,1.55,55.02,2066.96,13.02,10.07,13.51,51.25,16.33,80.93,3.7,2.66,1.04,Technology,Consumer Electronics,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.7,0.5,0.41,30.0,SELL,MEDIUM,41.0,0,-0.0086,-0.0001,-0.0079,-0.0022,-0.0003
AMZN,Amazon.com Inc.,2021-07-08,186.57,103612000,1.22,6.43,1994.48,14.32,13.1,18.9,21.11,21.03,71.97,4.42,3.13,1.29,Consumer Cyclical,Internet Retail,0.6,0.0,0.0,0.3,0.4,0.29000000000000004,10.0,STRONG_SELL,HIGH,29.000000000000004,1,-0.0086,-0.0001,-0.0079,-0.0022,-0.0003
GOOGL,Alphabet Inc.,2021-07-08,124.11,23790000,1.31,9.57,722.05,4.27,11.13,45.16,66.33,13.62,65.39,1.85,1.68,0.17,Communication Services,Internet Content & Information,0.44999999999999996,0.30000000000000004,0.6,0.8,0.9,0.63,90.0,STRONG_BUY,HIGH,63.0,1,-0.0086,-0.0001,-0.0079,-0.0022,-0.0003
IONQ,IonQ Inc.,2021-07-08,10.42,341200,1.19,7.11,3.69,-0.19,-5.27,-5.7,0.0,14.91,54.62,0.06,0.06,0.01,Technology,Computer Hardware,0.7,0.8,0.9,0.15,0.6,0.555,80.0,STRONG_BUY,HIGH,55.50000000000001,1,-0.0086,-0.0001,-0.0079,-0.0022,-0.0003
META,Meta Platforms Inc.,2021-07-08,343.25,14406500,1.37,8.54,747.57,3.59,10.42,31.27,41.9,22.06,57.56,6.76,6.94,-0.17,Communication Services,Internet Content & Information,0.30000000000000004,0.5,0.5,0.6,0.30000000000000004,0.45,40.0,SELL,MEDIUM,45.0,0,-0.0086,-0.0001,-0.0079,-0.0022,-0.0003
MSFT,Microsoft Corporation,2021-07-08,267.42,24618600,1.31,9.75,1987.6,9.84,9.8,31.31,31.61,14.21,78.19,6.37,5.34,1.02,Technology,Software - Infrastructure,0.44999999999999996,0.09999999999999998,0.4,0.4,0.7,0.4099999999999999,20.0,STRONG_SELL,HIGH,40.99999999999999,1,-0.0086,-0.0001,-0.0079,-0.0022,-0.0003
NVDA,NVIDIA Corporation,2021-07-08,19.86,503300000,1.75,36.33,482.66,14.04,39.05,57.87,95.05,30.69,66.86,1.02,1.03,-0.01,Technology,Semiconductors,0.09999999999999998,0.6,0.30000000000000004,0.9,0.19999999999999996,0.48000000000000004,70.0,BUY,MEDIUM,48.00000000000001,0,-0.0086,-0.0001,-0.0079,-0.0022,-0.0003
PLTR,Palantir Technologies Inc.,2021-07-08,23.08,34612600,0.65,67.9,52.72,-5.33,-1.41,-1.95,0.0,42.98,33.74,0.17,0.64,-0.47,Technology,Software - Infrastructure,0.9,0.9,0.7,0.15,0.0,0.475,60.0,BUY,MEDIUM,47.5,0,-0.0086,-0.0001,-0.0079,-0.0022,-0.0003
TSLA,Tesla Inc.,2021-07-08,217.6,68319900,2.22,20.36,723.71,8.15,-4.53,-13.65,138.97,36.39,62.3,3.81,3.78,0.03,Consumer Cyclical,Auto Manufacturers,0.0,0.7,0.09999999999999998,1.0,0.09999999999999998,0.47,50.0,NEUTRAL,MEDIUM,47.0,0,-0.0086,-0.0001,-0.0079,-0.0022,-0.0003
UNH,UnitedHealth Group Inc.,2021-07-08,380.6,2032300,0.72,3.16,344.76,2.42,12.76,14.93,39.46,13.74,63.91,2.03,0.63,1.4,Healthcare,Healthcare Plans,0.8,0.4,0.8,0.5,0.8,0.6300000000000001,100.0,STRONG_BUY,HIGH,63.000000000000014,1,-0.0086,-0.0001,-0.0079,-0.0022,-0.0003
AAPL,Apple Inc.,2021-07-09,141.71,99890800,1.55,55.02,2093.94,14.14,9.29,11.19,52.57,16.47,88.45,3.97,2.92,1.05,Technology,Consumer Electronics,0.19999999999999996,0.0,0.0,0.7,0.5,0.35,20.0,STRONG_SELL,HIGH,35.0,1,0.0126,0.0085,0.015700000000000002,-0.0017000000000000001,0.0040999999999999995
AMZN,Amazon.com Inc.,2021-07-09,185.97,74964000,1.22,6.43,1988.03,13.35,10.29,17.62,16.86,21.14,70.73,4.78,3.46,1.32,Consumer Cyclical,Internet Retail,0.6,0.09999999999999998,0.09999999999999998,0.3,0.4,0.32,10.0,STRONG_SELL,HIGH,32.0,1,0.0126,0.0085,0.015700000000000002,-0.0017000000000000001,0.0040999999999999995
GOOGL,Alphabet Inc.,2021-07-09,124.58,18632000,1.31,9.57,724.79,4.25,10.56,41.48,65.3,13.54,78.26,1.85,1.71,0.14,Communication Services,Internet Content & Information,0.44999999999999996,0.30000000000000004,0.6,0.8,0.9,0.63,90.0,STRONG_BUY,HIGH,63.0,1,0.0126,0.0085,0.015700000000000002,-0.0017000000000000001,0.0040999999999999995
IONQ,IonQ Inc.,2021-07-09,10.5,325500,1.19,7.11,3.72,-0.94,-4.81,-5.49,0.0,15.01,58.4,0.06,0.06,0.0,Technology,Computer Hardware,0.7,0.8,0.9,0.15,0.6,0.555,80.0,STRONG_BUY,HIGH,55.50000000000001,1,0.0126,0.0085,0.015700000000000002,-0.0017000000000000001,0.0040999999999999995
META,Meta Platforms Inc.,2021-07-09,347.99,13018700,1.38,8.54,757.88,6.11,12.15,30.39,43.32,22.31,67.79,6.52,6.85,-0.33,Communication Services,Internet Content & Information,0.30000000000000004,0.4,0.5,0.5,0.30000000000000004,0.4,30.0,SELL,MEDIUM,40.0,0,0.0126,0.0085,0.015700000000000002,-0.0017000000000000001,0.0040999999999999995
MSFT,Microsoft Corporation,2021-07-09,267.93,23916700,1.31,9.75,1991.33,9.6,8.88,27.91,30.94,14.16,82.65,6.36,5.55,0.81,Technology,Software - Infrastructure,0.44999999999999996,0.19999999999999996,0.30000000000000004,0.4,0.7,0.41999999999999993,40.0,SELL,MEDIUM,41.99999999999999,0,0.0126,0.0085,0.015700000000000002,-0.0017000000000000001,0.0040999999999999995
NVDA,NVIDIA Corporation,2021-07-09,20.01,296624000,1.76,36.33,486.23,15.51,39.27,50.34,91.01,30.66,68.46,0.97,1.01,-0.05,Technology,Semiconductors,0.09999999999999998,0.6,0.4,0.9,0.19999999999999996,0.49000000000000005,70.0,BUY,MEDIUM,49.00000000000001,0,0.0126,0.0085,0.015700000000000002,-0.0017000000000000001,0.0040999999999999995
PLTR,Palantir Technologies Inc.,2021-07-09,23.29,22492400,0.65,67.9,53.2,-3.64,-3.12,-6.84,0.0,42.26,35.98,0.04,0.52,-0.48,Technology,Software - Infrastructure,0.9,0.9,0.8,0.15,0.0,0.485,60.0,BUY,MEDIUM,48.5,0,0.0126,0.0085,0.015700000000000002,-0.0017000000000000001,0.0040999999999999995
TSLA,Tesla Inc.,2021-07-09,218.98,54421500,2.22,20.36,728.3,9.71,-2.96,-19.5,135.59,35.86,61.63,3.51,3.73,-0.22,Consumer Cyclical,Auto Manufacturers,0.0,0.7,0.19999999999999996,1.0,0.09999999999999998,0.48,50.0,NEUTRAL,MEDIUM,48.0,0,0.0126,0.0085,0.015700000000000002,-0.0017000000000000001,0.0040999999999999995
UNH,UnitedHealth Group Inc.,2021-07-09,382.6,2078900,0.72,3.16,346.58,3.12,9.92,13.71,43.67,13.83,74.65,2.39,0.98,1.41,Healthcare,Healthcare Plans,0.8,0.5,0.7,0.6,0.8,0.67,100.0,STRONG_BUY,HIGH,67.0,1,0.0126,0.0085,0.015700000000000002,-0.0017000000000000001,0.0040999999999999995
AAPL,Apple Inc.,2021-07-12,141.11,76299700,1.56,55.02,2085.14,14.58,10.29,9.78,51.66,15.91,84.23,4.09,3.16,0.93,Technology,Consumer Electronics,0.19999999999999996,0.19999999999999996,0.09999999999999998,0.7,0.5,0.39999999999999997,30.0,SELL,MEDIUM,40.0,0,0.0023,-0.0002,0.005600000000000001,0.0028000000000000004,-0.0027
